,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond
0,Attchd,2003.0,RFn,2,548,TA,TA
1,Attchd,1976.0,RFn,2,460,TA,TA
2,Attchd,2001.0,RFn,2,608,TA,TA
3,Detchd,1998.0,Unf,3,642,TA,TA
4,Attchd,2000.0,RFn,3,836,TA,TA
5,Attchd,1993.0,Unf,2,480,TA,TA
6,Attchd,2004.0,RFn,2,636,TA,TA
7,Attchd,1973.0,RFn,2,484,TA,TA
8,Detchd,1931.0,Unf,2,468,Fa,TA
9,Attchd,1939.0,RFn,1,205,Gd,TA
10,Detchd,1965.0,Unf,1,384,TA,TA
11,BuiltIn,2005.0,Fin,3,736,TA,TA
12,Detchd,1962.0,Unf,1,352,TA,TA
13,Attchd,2006.0,RFn,3,840,TA,TA
14,Attchd,1960.0,RFn,1,352,TA,TA
15,Detchd,1991.0,Unf,2,576,TA,TA
16,Attchd,1970.0,Fin,2,480,TA,TA
17,CarPort,1967.0,Unf,2,516,TA,TA
18,Detchd,2004.0,Unf,2,576,TA,TA
19,Attchd,1958.0,Unf,1,294,TA,TA
20,BuiltIn,2005.0,RFn,3,853,TA,TA
21,Attchd,1930.0,Unf,1,280,TA,TA
22,Attchd,2002.0,RFn,2,534,TA,TA
23,Attchd,1976.0,Unf,2,572,TA,TA
24,Attchd,1968.0,Unf,1,270,TA,TA
25,Attchd,2007.0,RFn,3,890,TA,TA
26,Detchd,2005.0,Unf,2,576,TA,TA
27,Attchd,2008.0,RFn,3,772,TA,TA
28,Attchd,1957.0,RFn,1,319,TA,TA
29,Detchd,1920.0,Unf,1,240,Fa,TA
30,Detchd,1920.0,Unf,1,250,TA,Fa
31,Attchd,1966.0,Unf,1,271,TA,TA
32,Attchd,2007.0,RFn,2,484,TA,TA
33,Attchd,1959.0,RFn,2,447,TA,TA
34,Attchd,2005.0,Fin,2,556,TA,TA
35,BuiltIn,2004.0,Fin,3,691,TA,TA
36,Attchd,1995.0,Unf,2,672,TA,TA
37,Attchd,1954.0,Fin,2,498,TA,TA
38,Detchd,1953.0,Unf,1,246,TA,TA
39,,,,0,0,,
40,Attchd,1965.0,RFn,2,440,TA,TA
41,Attchd,1959.0,RFn,1,308,TA,TA
42,Attchd,1983.0,RFn,2,504,TA,Gd
43,Detchd,1977.0,Unf,1,308,TA,TA
44,Attchd,1959.0,RFn,1,300,TA,TA
45,Attchd,2005.0,RFn,2,576,TA,TA
46,Attchd,2003.0,RFn,2,670,TA,TA
47,Attchd,2006.0,RFn,3,826,TA,TA
48,,,,0,0,,
49,Attchd,1966.0,Unf,1,386,TA,TA
50,Attchd,1997.0,Fin,2,388,TA,TA
51,Detchd,1985.0,Unf,2,528,TA,TA
52,CarPort,1963.0,Unf,2,516,TA,TA
53,Attchd,1981.0,Fin,3,894,TA,TA
54,Detchd,1962.0,Unf,2,572,TA,TA
55,Attchd,1964.0,RFn,2,576,TA,TA
56,Attchd,1999.0,Fin,2,480,TA,TA
57,Attchd,2004.0,RFn,2,565,TA,TA
58,BuiltIn,2006.0,Fin,3,641,TA,TA
59,Detchd,1973.0,Unf,1,352,TA,TA
60,Detchd,2006.0,Unf,2,576,TA,TA
61,Detchd,1935.0,Unf,1,288,TA,TA
62,Attchd,2006.0,RFn,2,484,TA,TA
63,Detchd,1990.0,Unf,2,480,TA,TA
64,Attchd,1998.0,RFn,2,645,TA,TA
65,BuiltIn,2004.0,RFn,3,852,TA,TA
66,Attchd,1970.0,RFn,2,576,TA,TA
67,Attchd,2003.0,RFn,2,558,TA,TA
68,Attchd,1945.0,Unf,1,220,TA,TA
69,Attchd,1953.0,Fin,2,667,TA,TA
70,Attchd,1973.0,Fin,2,516,TA,TA
71,Detchd,1987.0,Unf,2,360,TA,TA
72,Attchd,1998.0,Fin,2,427,TA,TA
73,Attchd,1989.0,Unf,2,490,TA,TA
74,Detchd,1915.0,Unf,1,379,TA,TA
75,BuiltIn,1973.0,Unf,1,297,TA,TA
76,Detchd,1956.0,Unf,1,283,TA,TA
77,Detchd,1948.0,Unf,1,240,TA,TA
78,,,,0,0,,
79,Detchd,1966.0,Unf,2,440,TA,TA
